transaction_id,date,description,category,amount,payment_method,account,tags
1,2024-08-18,Cash Back Source,Cash Back,725.91,Check,Savings,
2,2024-08-19,Gaming,Entertainment,-36.63,Mobile Payment,Credit Card 1,recurring
3,2024-08-20,Internet Vendor,Internet,-100.96,Cash,Savings,
4,2024-08-23,Car Repair,Transportation,-87.59,Bank Transfer,Credit Card 2,recurring
5,2024-08-26,Subscriptions Vendor,Subscriptions,-21.79,Mobile Payment,Checking,family
6,2024-08-28,Home & Garden Vendor,Home & Garden,-44.55,Debit Card,Credit Card 1,family
7,2024-08-28,Online Business,Side Business,1122.72,PayPal,Checking,discretionary
8,2024-08-29,Internet Vendor,Internet,-170.99,Bank Transfer,Checking,essential
9,2024-09-01,Car Rental,Travel,-326.65,Debit Card,Checking,essential
10,2024-09-01,Home & Garden Vendor,Home & Garden,-175.24,Mobile Payment,Credit Card 2,
11,2024-09-04,Insurance Vendor,Insurance,-215.38,Credit Card,Credit Card 1,
12,2024-09-06,Gifts Source,Gifts,573.06,Debit Card,Credit Card 2,
13,2024-09-08,HOA Fee,Bills & Utilities,-64.22,Credit Card,Savings,
14,2024-09-11,Pets Vendor,Pets,-91.83,Debit Card,Credit Card 2,discretionary
15,2024-09-11,Parking Meter,Transportation,-37.94,Credit Card,Checking,family
16,2024-09-19,Walmart,Groceries,-49.76,Mobile Payment,Credit Card 1,
17,2024-09-20,Eye Doctor,Healthcare,-367.62,Bank Transfer,Credit Card 2,work-related
18,2024-09-20,Costco,Groceries,-39.72,Cash,Checking,work-related
19,2024-09-21,Travel Insurance,Travel,-434.27,Mobile Payment,Credit Card 1,
20,2024-09-21,Bond Interest,Investment Returns,459.19,PayPal,Savings,essential
21,2024-09-24,Refund Source,Refund,765.6,Check,Credit Card 2,discretionary
22,2024-09-24,Insurance Vendor,Insurance,-233.63,PayPal,Credit Card 1,
23,2024-09-24,Home & Garden Vendor,Home & Garden,-187.59,Debit Card,Credit Card 1,work-related
24,2024-09-26,Trash Service,Bills & Utilities,-59.79,Bank Transfer,Savings,family
